name,club,Position,Appearances,Goals,Shots,Assists,Passes,Crosses,Fouls,Offsides,Tackles,Interceptions,Clearances,Headed Clearance,Recoveries,Successful 50/50s,Headed goals,Shots on target,Big chances missed,Big chances created,Yellow cards,Red cards,Blocked shots,Tackle success %,Last man tackles,Errors leading to goal,Duels won,Duels lost,Aerial battles won,Aerial battles lost,Cross accuracy %,Accurate long balls,age,height_cm,overall,potential,wage_eur,pace,shooting,passing,dribbling,defending,physic,player_url,gpg,crosspg,ppg,apg,bspg,fpg,opg,tpg,ipg,clearpg,rpg,ffpg,bcpg,lbpg,aerial_win,duel_win,shot_accuracy,chances_missed
"frozenset({'Rolando', 'Aarons'})",Newcastle United,Midfielder,14,2,9.0,1,156,17.0,10,0.0,16.0,7.0,11.0,6.0,34.0,10.0,,,,,,,,,,,,,,,,,23.0,178.0,70.0,77.0,18000.0,78.0,62.0,66.0,75.0,39.0,46.0,https://sofifa.com/player/222513/rolando-aarons/20/159586,0.14285714285714285,1.2142857142857142,11.142857142857142,0.07142857142857142,0.0,0.7142857142857143,0.0,1.1428571428571428,0.5,0.7857142857142857,2.4285714285714284,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0
frozenset({'Adrián'}),West Ham United,Goalkeeper,125,0,,0,3141,,5,,,,,,,,,,,,9.0,2.0,,,,7.0,,,,,,1036.0,,,,,,,,,,,,,0.0,0.0,25.128,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.288,0.0,0.0,0.0,0.0
"frozenset({'Silva', 'Adrien'})",Leicester City,Midfielder,13,0,11.0,1,509,4.0,9,0.0,24.0,15.0,0.0,0.0,63.0,6.0,0.0,2.0,0.0,1.0,3.0,0.0,5.0,63.0,,0.0,50.0,74.0,11.0,21.0,4.0,26.0,30.0,175.0,78.0,78.0,75000.0,58.0,74.0,79.0,76.0,70.0,65.0,https://sofifa.com/player/184826/adrien-s-perruchet-silva/20/159586,0.0,0.3076923076923077,39.15384615384615,0.07692307692307693,0.38461538461538464,0.6923076923076923,0.0,1.8461538461538463,1.1538461538461537,0.0,4.846153846153846,0.46153846153846156,0.07692307692307693,2.0,0.34375,0.4032258064516129,0.18181818181818182,0.0
"frozenset({'Sergio', 'Agüero'})",Manchester City,Forward,207,143,805.0,35,5031,154.0,137,163.0,127.0,62.0,9.0,3.0,,,14.0,341.0,105.0,49.0,19.0,1.0,178.0,,,,,,,,,,31.0,173.0,89.0,89.0,300000.0,80.0,90.0,77.0,88.0,33.0,74.0,https://sofifa.com/player/153079/sergio-aguero/20/159586,0.6908212560386473,0.7439613526570048,24.304347826086957,0.16908212560386474,0.8599033816425121,0.6618357487922706,0.7874396135265701,0.6135265700483091,0.2995169082125604,0.043478260869565216,0.0,0.0,0.23671497584541062,0.0,0.0,0.0,0.4236024844720497,0.13043478260869565
"frozenset({'Marc', 'Albrighton'})",Leicester City,Midfielder,209,15,191.0,32,4558,1396.0,150,14.0,365.0,228.0,138.0,29.0,1024.0,250.0,0.0,61.0,13.0,49.0,27.0,1.0,64.0,76.0,,0.0,819.0,959.0,51.0,159.0,21.0,294.0,29.0,175.0,76.0,76.0,69000.0,70.0,68.0,75.0,77.0,59.0,69.0,https://sofifa.com/player/183130/marc-albrighton/20/159586,0.07177033492822966,6.679425837320574,21.80861244019139,0.15311004784688995,0.3062200956937799,0.7177033492822966,0.06698564593301436,1.7464114832535884,1.0909090909090908,0.6602870813397129,4.899521531100478,1.1961722488038278,0.23444976076555024,1.4066985645933014,0.24285714285714285,0.46062992125984253,0.3193717277486911,0.06806282722513089
"frozenset({'Toby', 'Alderweireld'})",Tottenham Hotspur,Defender,108,6,,2,5621,42.0,38,1.0,149.0,127.0,638.0,301.0,473.0,24.0,4.0,,,2.0,10.0,0.0,20.0,77.0,1.0,1.0,342.0,262.0,152.0,146.0,24.0,696.0,30.0,186.0,87.0,87.0,155000.0,64.0,55.0,72.0,66.0,88.0,79.0,https://sofifa.com/player/184087/toby-alderweireld/20/159586,0.05555555555555555,0.3888888888888889,52.0462962962963,0.018518518518518517,0.18518518518518517,0.35185185185185186,0.009259259259259259,1.3796296296296295,1.1759259259259258,5.907407407407407,4.37962962962963,0.2222222222222222,0.018518518518518517,6.444444444444445,0.5100671140939598,0.5662251655629139,0.0,0.0
"frozenset({'Trent', 'Alexander-Arnold'})",Liverpool,Defender,27,1,,1,1147,114.0,14,4.0,45.0,32.0,50.0,13.0,147.0,22.0,0.0,,,3.0,4.0,0.0,2.0,67.0,0.0,0.0,76.0,86.0,5.0,19.0,17.0,84.0,20.0,180.0,83.0,89.0,78000.0,80.0,62.0,82.0,78.0,78.0,70.0,https://sofifa.com/player/231281/trent-alexander-arnold/20/159586,0.037037037037037035,4.222222222222222,42.48148148148148,0.037037037037037035,0.07407407407407407,0.5185185185185185,0.14814814814814814,1.6666666666666667,1.1851851851851851,1.8518518518518519,5.444444444444445,0.8148148148148148,0.1111111111111111,3.111111111111111,0.20833333333333334,0.4691358024691358,0.0,0.0
frozenset({'Alisson'}),Liverpool,Goalkeeper,1,0,,0,31,,0,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,5.0,26.0,191.0,89.0,91.0,155000.0,,,,,,,https://sofifa.com/player/212831/alisson-ramses-becker/20/159586,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
"frozenset({'Alonso', 'Marcos'})",Chelsea,Defender,90,14,,6,3600,265.0,81,12.0,188.0,151.0,253.0,119.0,517.0,61.0,3.0,,,9.0,15.0,1.0,39.0,71.0,0.0,1.0,512.0,408.0,179.0,128.0,20.0,143.0,28.0,188.0,81.0,81.0,115000.0,66.0,73.0,79.0,77.0,79.0,79.0,https://sofifa.com/player/192638/marcos-alonso-mendoza/20/159586,0.15555555555555556,2.9444444444444446,40.0,0.06666666666666667,0.43333333333333335,0.9,0.13333333333333333,2.088888888888889,1.6777777777777778,2.811111111111111,5.7444444444444445,0.6777777777777778,0.1,1.5888888888888888,0.5830618892508144,0.5565217391304348,0.0,0.0
"frozenset({'Daniel', 'Amartey'})",Leicester City,Midfielder,38,1,15.0,1,1135,3.0,37,0.0,51.0,35.0,53.0,28.0,194.0,7.0,1.0,6.0,1.0,0.0,4.0,1.0,3.0,61.0,,0.0,121.0,136.0,46.0,44.0,33.0,53.0,24.0,186.0,73.0,76.0,42000.0,67.0,55.0,65.0,69.0,75.0,76.0,https://sofifa.com/player/212883/daniel-amartey/20/159586,0.02631578947368421,0.07894736842105263,29.86842105263158,0.02631578947368421,0.07894736842105263,0.9736842105263158,0.0,1.3421052631578947,0.9210526315789473,1.394736842105263,5.105263157894737,0.18421052631578946,0.0,1.394736842105263,0.5111111111111111,0.4708171206225681,0.4,0.06666666666666667
